Rank,Prev,RiderID,UCICode,Name,Team,Nationality,Age,CQ,FirstCyclingRider_id
1,1,26526,SLO19980921,POGACAR Tadej,UAD,SLO,25,3748,45992
2,2,28377,BEL20000125,EVENEPOEL Remco,SOQ,BEL,23,3187,84019
3,3,20730,BEL19940915,VAN AERT Wout,TJV,BEL,29,2656,18258
4,4,25740,DEN19961210,VINGEGAARD RASMUSSEN Jonas,TJV,DEN,27,2474,38195
5,5,26392,BEL19980302,PHILIPSEN Jasper,ADC,BEL,25,1969,45363
6,6,21992,DEN19951218,PEDERSEN Mads,TFS,DEN,28,1616,16793
7,7,20719,SLO19891029,ROGLIC Primoz,TJV,SLO,34,1558,18655
8,8,32221,BEL20020316,DE LIE Arnaud,LTD,BEL,21,1548,113439
9,9,24902,USA19960903,POWLESS Neilson,EFE,USA,27,1463,37494
10,11,19953,FRA19921211,LAPORTE Christophe,TJV,FRA,31,1393,14737
11,10,21971,NED19950119,VAN DER POEL Mathieu,ADC,NED,28,1324,16672
12,12,22794,ESP19950107,MAS NICOLAU Enric,MOV,ESP,28,1307,1527
13,13,17881,ESP19900225,BILBAO LOPEZ DE ARMENTIA Pello,TBV,ESP,33,1297,4863
14,14,14319,ESP19891213,LANDA MEANA Mikel,TBV,ESP,34,1277,2278
15,16,30166,DEN20000926,SKJELMOSE JENSEN Mattias,TFS,DEN,23,1273,77103
16,15,24255,FRA19961010,GAUDU David,GFC,FRA,27,1261,37378
17,21,23948,AUS19960505,HINDLEY Jai,BOH,AUS,27,1186,37446
18,18,25026,COL19970801,HIGUITA GARCIA Sergio Andres,BOH,COL,26,1175,58639
19,19,24316,RUS19960423,VLASOV Aleksandr,BOH,RUS,27,1172,37281
20,20,16653,FRA19910826,DEMARE Arnaud,GFC,FRA,32,1169,2337
21,17,20960,SUI19931116,KÜNG Stefan,GFC,SUI,30,1120,16724
22,22,4179,NOR19870705,KRISTOFF Alexander,UXT,NOR,36,1110,406
23,24,21342,ECU19930529,CARAPAZ MONTENEGRO Richard Antonio,EFE,ECU,30,1080,23097
24,25,17893,GBR19920807,YATES Simon,JAY,GBR,31,1064,6242
25,26,24057,ITA19960725,GANNA Filippo,IGD,ITA,27,1053,27099
26,27,29214,SUI19991204,SCHMID Mauro,SOQ,SUI,24,1016,69502
27,28,30643,NED20011017,KOOIJ Olav,TJV,NED,22,992,97547
28,29,27025,GBR19980918,HAYTER Ethan,IGD,GBR,25,989,45349
29,30,26482,POR19980805,ALMEIDA Joao Pedro Gonçalves,UAD,POR,25,985,50303
30,23,13066,AUS19900926,MATTHEWS Michael,JAY,AUS,33,983,2211
31,31,21958,ITA19950523,ROTA Lorenzo,ICW,ITA,28,981,27275
32,32,19238,NED19930621,GROENEWEGEN Dylan,JAY,NED,30,943,7720
33,33,13566,FRA19901109,BARDET Romain,DSM,FRA,33,924,2275
34,34,18975,GBR19920807,YATES Adam,UAD,GBR,31,910,20147
35,35,3891,GBR19860525,THOMAS Geraint,IGD,GBR,37,909,716
36,37,30836,ESP20010202,RODRIGUEZ CANO Carlos,IGD,ESP,22,886,84926
37,38,29568,AUS19951116,VINE Jay,UAD,AUS,28,885,88703
38,40,27708,GBR19990730,PIDCOCK Thomas,IGD,GBR,24,884,65025
39,39,17988,BEL19921030,MERLIER Tim,SOQ,BEL,31,878,8377
40,46,31263,FRA19981218,ZINGLE Axel,COF,FRA,25,876,72919
41,52,31264,FRA20010426,VAUQUELIN Kévin,ARK,FRA,22,876,99667
42,41,27716,NED19991204,ARENSMAN Thymen,IGD,NED,24,864,78129
43,62,19994,FRA19930609,MARTIN Guillaume,COF,FRA,30,850,10990
44,43,23503,COL19960425,MARTINEZ POVEDA Daniel Felipe,IGD,COL,27,848,27124
45,45,5,ESP19800425,VALVERDE BELMONTE Alejandro,???,ESP,43,833,38
46,47,21812,ITA19941220,CICCONE Giulio,TFS,ITA,29,826,20384
47,48,18413,RSA19920221,MEINTJES Louis,ICW,RSA,31,825,6415
48,44,24758,FRA19960712,MADOUAS Valentin,GFC,FRA,27,815,37379
49,50,23334,COL19940204,LOPEZ MORENO Miguel Angel,MED,COL,29,794,35077
50,42,23763,AUS19951125,O'CONNOR Ben,ACT,AUS,28,791,42186
51,73,13080,FRA19900529,PINOT Thibaut,GFC,FRA,33,777,860
52,49,17534,ESP19900726,HERRADA LOPEZ Jesus,COF,ESP,33,771,2325
53,54,23426,NED19960831,JAKOBSEN Fabio,SOQ,NED,27,769,37748
54,36,24189,FRA19951017,COSNEFROY Benoît,ACT,FRA,28,756,34011
55,53,13270,ITA19890802,TRENTIN Matteo,UAD,ITA,34,752,3933
