startdate,enddate,race,race_id,category,points,JPP
2024-01-16,2024-01-21,Tour Down Under,1,2.WT1,14.7,208
2024-01-20,,Clàssica Comunitat Valenciana 1969 - GP Valencia,411,1.1,2.4,0
2024-01-21,,Ruta de la Cerámica - Gran Premio Castellón,22183,1.1,2.4,0
2024-01-24,,Trofeo Calvia,271,1.1,2.4,0
2024-01-25,,Surf Coast Classic,13182,1.1,2.4,0
2024-01-25,,Trofeo Ses Salines - Felantix,102,1.1,2.4,0
2024-01-26,,Trofeo Serra de Tramuntana,100,1.1,2.4,0
2024-01-27,,Trofeo Andratx,274,1.1,2.4,0
2024-01-28,,Cadel Road Race,1172,1.WT3,8.0,208
2024-01-28,,GP la Marseillaise,97,1.1,2.4,0
2024-01-28,,Trofeo Palma,83,1.1,2.4,0
2024-01-30,2024-02-03,AlUla Tour,868,2.1,2.4,0
2024-01-31,2024-02-04,Étoile de Bessèges,106,2.1,2.4,0
2024-01-31,2024-02-04,Volta Comunitat Valenciana,319,2.PS,5.5,208
2024-02-06,2024-02-11,Tour Colombia,8519,2.1,2.4,0
2024-02-08,2024-02-11,Tour de La Provence,4396,2.1,2.4,0
2024-02-08,2024-02-11,Tour of Antalya,8472,2.1,2.4,0
2024-02-09,,Muscat Classic,18946,1.1,2.4,0
2024-02-10,2024-02-14,Tour of Oman,57,2.PS,5.5,208
2024-02-10,,Vuelta a Murcia,74,1.1,2.4,0
2024-02-11,,Clasica de Almeria,129,1.PS,5.5,208
2024-02-12,,Jaén Paraiso Interior,16519,1.1,2.4,0
2024-02-14,2024-02-18,Volta ao Algarve,107,2.PS,5.5,208
2024-02-14,2024-02-18,Vuelta a Andalucía,110,2.PS,5.5,208
2024-02-16,,Classic Var,21999,1.1,2.4,0
2024-02-17,2024-02-18,Tour Alpes Maritimes du Var,111,2.1,2.4,0
2024-02-18,2024-02-25,Tour of Rwanda,450,2.1,2.4,0
2024-02-19,2024-02-25,UAE Tour,9800,2.WT3,8.0,208
2024-02-22,2024-02-25,Gran Camiño,16526,2.1,2.4,0
2024-02-24,,Faun-Ardèche Classic,121,1.PS,5.5,208
2024-02-24,,Omloop Het Nieuwsblad,53,1.WT3,8.0,208
2024-02-25,,Kuurne-Brussel-Kuurne,84,1.PS,5.5,208
2024-02-25,,La Drome Classic,432,1.PS,5.5,208
2024-02-27,,Le Samyn,116,1.1,2.4,0
2024-02-28,,Trofeo Laigueglia,112,1.PS,5.5,208
2024-03-02,,GP Criquielion,539,1.1,2.4,0
2024-03-02,,Strade Bianche,54,1.WT2,14.7,208
2024-03-03,,GP Jean-Pierre Monseré,2729,1.1,2.4,0
2024-03-03,2024-03-10,Paris-Nice,2,2.WT1,14.7,208
2024-03-04,2024-03-10,Tirreno-Adriatico,3,2.WT1,14.7,208
2024-03-10,2024-03-14,Tour de Taiwan,132,2.1,2.4,0
2024-03-13,,Milano - Torino,89,1.PS,5.5,208
2024-03-13,,Nokere Koerse,122,1.PS,5.5,208
2024-03-14,,GP de Denain,146,1.PS,5.5,208
2024-03-15,,Bredene Koksijde Classic,123,1.PS,5.5,208
2024-03-16,,Classic Loire Atlantique,124,1.1,2.4,0
2024-03-16,,Milano-Sanremo,4,1.WT1,21.5,208
2024-03-17,,Cholet Agglo Tour,125,1.1,2.4,0
2024-03-18,2024-03-24,Volta Catalunya,14,2.WT1,14.7,208
2024-03-19,2024-03-23,Coppi e Bartali,114,2.1,2.4,0
2024-03-20,,Classic Brugge-De Panne,40,1.WT3,8.0,208
2024-03-22,,E3 Saxo Classic,47,1.WT3,8.0,208
2024-03-24,,Gent - Wevelgem,7,1.WT2,14.7,208
2024-03-24,,La Roue Tourangelle,260,1.1,2.4,0
2024-03-27,,Dwars door Vlaanderen,75,1.WT3,8.0,208
2024-03-27,,Paris - Camembert,145,1.1,2.4,0
2024-03-29,,Route Adélie de Vitré,134,1.1,2.4,0
2024-03-30,,GP Miguel Indurain,48,1.PS,5.5,208
2024-03-30,,Volta Limburg Classic,126,1.1,2.4,0
2024-03-31,,Ronde van Vlaanderen,5,1.WT1,21.5,208
2024-04-01,2024-04-06,Itzulia Basque Country,6,2.WT1,14.7,208
2024-04-01,2024-04-06,Tour of Thailand,507,2.1,2.4,0
2024-04-02,2024-04-05,Pays de la Loire Tour,217,2.1,2.4,0
2024-04-03,,Scheldeprijs,56,1.PS,5.5,208
2024-04-07,,Giro Reggio Calabria,108,1.1,2.4,0
2024-04-07,,Paris-Roubaix,8,1.WT1,21.5,208
2024-04-09,2024-04-12,Giro di Sicilia,11248,2.1,2.4,0
2024-04-10,,Brabantse Pijl,77,1.PS,5.5,208
2024-04-12,,Classic Grand Besançon Doubs,15075,1.1,2.4,0
2024-04-13,,Tour du Jura,1285,1.1,2.4,0
2024-04-14,,Amstel Gold Race,9,1.WT1,21.5,208
2024-04-14,,Tour du Doubs,162,1.1,2.4,0
2024-04-15,2024-04-19,Tour of the Alps,62,2.PS,5.5,208
2024-04-17,,La Flèche Wallonne,10,1.WT2,14.7,208
2024-04-21,,Giro di Romagna,15371,1.1,2.4,0
2024-04-21,,Liège-Bastogne-Liège,11,1.WT1,21.5,208
2024-04-21,2024-04-28,Tour of Türkiye,152,2.PS,5.5,208
2024-04-23,2024-04-28,Tour de Romandie,12,2.WT1,14.7,208
2024-04-26,2024-04-28,Vuelta a Asturias,153,2.1,2.4,0
2024-04-28,,Famenne Ardenne Classic,7660,1.1,2.4,0
2024-05-01,,Eschborn-Frankfurt,35,1.WT3,8.0,208
2024-05-04,2024-05-26,Giro d'Italia,13,GT2,70.0,208
2024-05-04,,GP de Plumelec-Morbihan,180,1.PS,5.5,208
2024-05-05,,Elfstedenronde,8515,1.1,2.4,0
2024-05-05,,Tro-Bro Leon,148,1.PS,5.5,208
2024-05-08,2024-05-12,Tour de Hongrie,765,2.PS,5.5,208
2024-05-09,,Circuit de Wallonie,537,1.1,2.4,0
2024-05-11,,Tour du Finistère,147,1.1,2.4,0
