rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.WT1s,"Critérium du Dauphiné, Stage 7 : Albertville - Samoëns 1600 (prov.)",43179,ROGLIC Primoz,20719,1,0,2024-06-08,Frank
1,1.PS,Dwars door het Hageland (prov.),43019,VERMEERSCH Gianni,18247,4,50,2024-06-08,-
2,1.PS,Dwars door het Hageland (prov.),43019,ABRAHAMSEN Jonas,22233,1,35,2024-06-08,-
3,1.PS,Dwars door het Hageland (prov.),43019,DE VRIES Hartthijs,23351,0.5,25,2024-06-08,-
4,1.PS,Dwars door het Hageland (prov.),43019,TILLER Rasmus Fossum,25623,0,20,2024-06-08,Jan
5,1.PS,Dwars door het Hageland (prov.),43019,WAERENSKJOLD Søren,29187,0,18,2024-06-08,Albert
6,1.PS,Dwars door het Hageland (prov.),43019,HERMANS Quinten,22077,0,16,2024-06-08,-
7,1.PS,Dwars door het Hageland (prov.),43019,RONHAAR Pim,30780,0,14,2024-06-08,Roy
8,1.PS,Dwars door het Hageland (prov.),43019,ANIOLKOWSKI Stanislaw,24940,0,12,2024-06-08,-
9,1.PS,Dwars door het Hageland (prov.),43019,TAMINIAUX Lionel,23416,0,10,2024-06-08,-
10,1.PS,Dwars door het Hageland (prov.),43019,LOOCKX Lander,28470,0,8,2024-06-08,-
1,2.PSs,"ZLM Tour, Stage 4 : Roosendaal - Roosendaal (prov.)",43187,VAN UDEN Casper,30636,0.3,0,2024-06-08,-
1,2.WT1s,"Critérium du Dauphiné, Stage 6 : Hauterives - Le Collet d'Allevard (prov.)",43178,ROGLIC Primoz,20719,1,0,2024-06-07,Frank
1,2.PSs,"ZLM Tour, Stage 3 : Schijndel - Buchten (prov.)",43186,SCHULTING Peter,4146,0.3,0,2024-06-07,-
1,1.1,GP Kanton Aargau - Gippingen,43018,VAN GILS Maxim,28521,2,0,2024-06-07,Albert
2,1.1,GP Kanton Aargau - Gippingen,43018,BETTIOL Alberto,20697,0.3,0,2024-06-07,PB
3,1.1,GP Kanton Aargau - Gippingen,43018,ADRIA OLIVERAS Roger,27469,0.1,0,2024-06-07,-
1,2.WT1s,"Critérium du Dauphiné, Stage 5 : Amplepuis - Saint-Priest (prov.)",43177,no result,13543,1,0,2024-06-06,-
1,2.PSs,"ZLM Tour, Stage 2 : Middelburg - Wissenkerke (prov.)",43185,VAN UDEN Casper,30636,0.3,0,2024-06-06,-
