renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
20917,ACKERMANN Pascal,ACKERMANN Pascal,Vel,5,UAD,GER,29,0,0
24794,AFFINI Edoardo,AFFINI Edoardo,Paul,3,TJV,ITA,27,0,0
18610,ALAPHILIPPE Julian,ALAPHILIPPE Julian,Arjan,40,SOQ,FRA,31,0,0
24139,ALBANESE Vincenzo,ALBANESE Vincenzo,Harry,1,EOK,ITA,27,0,0
28451,ALEOTTI Giovanni,ALEOTTI Giovanni,Wijnand,1,BOH,ITA,24,0,0
22616,ALLEGAERT Piet,ALLEGAERT Piet,Vel,0,COF,BEL,28,0,0
26482,ALMEIDA Joao,ALMEIDA Joao Pedro Gonçalves,Wijnand,14,UAD,POR,25,0,0
20793,ANDERSEN Søren Kragh,ANDERSEN Søren Kragh,Vel,2,ADC,DEN,29,0,0
23940,ARANBURU Alexander,ARANBURU DEBA Alexander,Jan,3,MOV,ESP,28,0,0
27716,ARENSMAN Thymen,ARENSMAN Thymen,Kaspar,13,IGD,NED,24,0,0
23558,ASGREEN Kasper,ASGREEN Kasper,Nicky,10,SOQ,DEN,28,0,0
24326,AULAR Orluis,AULAR SANABRIA Orluis Alberto,PB,1,CJR,VEN,27,0,0
31654,AYUSO Juan,AYUSO PESQUERA Juan,Albert,21,UAD,ESP,21,0,0
28452,BAGIOLI Andrea,BAGIOLI Andrea,Albert,2,SOQ,ITA,24,0,0
22020,BALLERINI Davide,BALLERINI Davide,Harry,3,SOQ,ITA,29,0,0
13566,BARDET Romain,BARDET Romain,Jan,6,DSM,FRA,33,0,0
17627,BARGUIL Warren,BARGUIL Warren,Nicky,3,ARK,FRA,32,0,0
28450,BATTISTELLA Samuele,BATTISTELLA Samuele,Vel,2,AST,ITA,25,0,0
20861,BAUHAUS Phil,BAUHAUS Phil,Vel,1,TBV,GER,29,0,0
23306,BAX Sjoerd,BAX Sjoerd,PB,1,UAD,NED,27,0,0
12254,BENNETT George,BENNETT George,Nicky,1,UAD,NZL,33,0,0
13362,BENNETT Sam,BENNETT Sam,PB,11,BOH,IRL,33,0,0
21244,BENOOT Tiesj,BENOOT Tiesj,Paul,1,TJV,BEL,29,0,0
24926,BERNAL Egan,BERNAL GOMEZ Egan Arley,Paul,28,IGD,COL,26,0,0
20697,BETTIOL Alberto,BETTIOL Alberto,PB,1,EFE,ITA,30,0,0
15791,BEVIN Patrick,BEVIN Patrick,Jan,1,DSM,NZL,32,0,0
17881,BILBAO Pello,BILBAO LOPEZ DE ARMENTIA Pello,Jan,6,TBV,ESP,33,0,0
26376,BISSEGGER Stefan,BISSEGGER Stefan,Bram,4,EFE,SUI,25,0,0
26388,BJERG Mikkel,BJERG Mikkel,Kees,2,UAD,DEN,25,0,0
4377,BOASSON HAGEN Edvald,BOASSON HAGEN Edvald,Bram,0,TEN,NOR,36,0,0
21930,BOL Cees,BOL Cees,Roy,1,???,NED,28,0,0
22692,BONNAMOUR Franck,BONNAMOUR Franck,Frank,2,???,FRA,28,0,0
