renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
31654,AYUSO Juan,AYUSO PESQUERA Juan,Albert,21,UAD,ESP,21,15.1,90
28452,BAGIOLI Andrea,BAGIOLI Andrea,Albert,2,SOQ,ITA,24,1.5,88
16936,CATTANEO Mattia,CATTANEO Mattia,Albert,1,SOQ,ITA,33,1.2,30
12823,DENNIS Rohan,DENNIS Rohan,Albert,1,TJV,AUS,33,1,14
20777,GAVIRIA Fernando,GAVIRIA RENDON Fernando,Albert,3,MOV,COL,29,2.3,49
19548,GROSSSCHARTNER Felix,GROSSSCHARTNER Felix,Albert,1,UAD,AUT,30,2.1,90
25289,HAMILTON Lucas,HAMILTON Lucas,Albert,1,JAY,AUS,27,0,20
29436,HEIDUK Kim,HEIDUK Kim,Albert,0,IGD,GER,23,0,8
4819,HERMANS Ben,HERMANS Ben,Albert,1,IPT,BEL,37,0,22
26396,HODEG Alvaro,HODEG CHAGUI Alvaro Jose,Albert,1,UAD,COL,26,0,12
22702,HOFSTETTER Hugo,HOFSTETTER Hugo,Albert,2,ARK,FRA,29,0.3,0
31567,JOHANNESSEN Tobias,JOHANNESSEN Tobias Halland,Albert,2,UXT,NOR,24,1.3,85
28057,JORGENSON Matteo,JORGENSON Matteo,Albert,1,MOV,USA,24,7.8,127
15171,KELDERMAN Wilco,KELDERMAN Wilco,Albert,2,TJV,NED,32,1.5,20
16058,KONRAD Patrick,KONRAD Patrick,Albert,1,BOH,AUT,32,2,47
30643,KOOIJ Olav,KOOIJ Olav,Albert,13,TJV,NED,22,15.4,177
32946,MIHKELS Madis,MIHKELS Madis,Albert,1,ICW,EST,20,0.3,0
30663,PAGE Hugo,PAGE Hugo,Albert,1,ICW,FRA,22,2.2,35
30648,PICCOLO Andrea,PICCOLO Andrea,Albert,3,EFE,ITA,22,1.1,0
27708,PIDCOCK Thomas,PIDCOCK Thomas,Albert,20,IGD,GBR,24,17.5,142
20847,POLITT Nils,POLITT Nils,Albert,3,BOH,GER,29,2,54
333,SANCHEZ Luis Leon,SANCHEZ GIL Luis Leon,Albert,1,AST,ESP,40,0,0
19165,TEUNISSEN Mike,TEUNISSEN Mike,Albert,2,ICW,NED,31,1.5,44
27085,THIJSSEN Gerben,THIJSSEN Gerben,Albert,1,ICW,BEL,25,11.4,103
30630,TULETT Ben,TULETT Ben,Albert,3,IGD,GBR,22,5.3,85
3333,VAN AVERMAET Greg,VAN AVERMAET Greg,Albert,1,ACT,BEL,38,2,0
31264,VAUQUELIN Kévin,VAUQUELIN Kévin,Albert,2,ARK,FRA,22,4.5,0
28127,VERMEERSCH Florian,VERMEERSCH Florian,Albert,2,LTD,BEL,24,4.3,129
16722,WELLENS Tim,WELLENS Tim,Albert,5,UAD,BEL,32,10.4,68
20257,WOODS Michael,WOODS Michael,Albert,2,IPT,CAN,37,6.7,105
