renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
18610,ALAPHILIPPE Julian,ALAPHILIPPE Julian,Arjan,40,SOQ,FRA,31,5,80
22669,CAPIOT Amaury,CAPIOT Amaury,Arjan,2,ARK,BEL,30,0,0
19335,FRAILE Omar,FRAILE MATARRANZ Omar,Arjan,1,IGD,ESP,33,0.3,0
13229,ROWE Luke,ROWE Luke,Arjan,0,IGD,GBR,33,0,0
3891,THOMAS Geraint,THOMAS Geraint,Arjan,9,IGD,GBR,37,18,43
27923,TURNER Benjamin,TURNER Benjamin,Arjan,1,IGD,GBR,24,2.3,0
30641,VAN DIJKE Mick,VAN DIJKE Mick,Arjan,2,TJV,NED,23,0,14
19483,VAN LERBERGHE Bert,VAN LERBERGHE Bert,Arjan,1,SOQ,BEL,31,0,0
30035,VERNON Ethan,VERNON Ethan,Arjan,1,SOQ,GBR,23,4.0,16
25740,VINGEGAARD Jonas,VINGEGAARD RASMUSSEN Jonas,Arjan,43,TJV,DEN,27,86.0,210
