renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
22692,BONNAMOUR Franck,BONNAMOUR Franck,Frank,2,???,FRA,28,0,16
26277,CONCI Nicola,CONCI Nicola,Frank,1,ADC,ITA,26,0,0
31449,GLOAG Thomas,GLOAG Thomas,Frank,1,TJV,GBR,22,0,16
19238,GROENEWEGEN Dylan,GROENEWEGEN Dylan,Frank,14,JAY,NED,30,4.3,28
22077,HERMANS Quinten,HERMANS Quinten,Frank,1,ADC,BEL,28,0.1,12
24961,KANTER Max,KANTER Max,Frank,2,MOV,GER,26,0,10
21145,MOHORIC Matej,MOHORIC Matej,Frank,16,TBV,SLO,29,17.3,184
27072,OLDANI Stefano,OLDANI Stefano,Frank,1,ADC,ITA,25,0,0
29528,PLOWRIGHT Jensen,PLOWRIGHT Jensen,Frank,1,ADC,AUS,23,0,0
27024,RUBIO Einer Augusto,RUBIO REYES Einer Augusto,Frank,0,MOV,COL,25,3.8,50
20730,VAN AERT Wout,VAN AERT Wout,Frank,61,TJV,BEL,29,35.5,343
