renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
21971,VAN DER POEL Mathieu,VAN DER POEL Mathieu,Harry,70,ADC,NED,28,0,8
24902,POWLESS Neilson,POWLESS Neilson,Harry,10,EFE,USA,27,0,0
23940,ARANBURU DEBA Alex,ARANBURU DEBA Alex,Harry,4,MOV,ESP,28,0.1,0
22020,BALLERINI Davide,BALLERINI Davide,Harry,3,AST,ITA,29,0,0
30642,VAN DIJKE Tim,VAN DIJKE Tim,Harry,2,TJV,NED,23,0,0
26376,BISSEGGER Stefan,BISSEGGER Stefan,Harry,2,EFE,SUI,25,0,0
21014,CARTHY Hugh,CARTHY Hugh,Harry,2,EFE,GBR,29,0,0
22910,CAVAGNA Remi,CAVAGNA Remi,Harry,2,SOQ,FRA,28,0,0
6807,COSTA Rui Alberto Faria,COSTA Rui Alberto Faria,Harry,2,EFE,POR,37,0,0
24932,EENKHOORN Pascal,EENKHOORN Pascal,Harry,1,LTD,NED,26,0,0
27153,CHAMPOUSSIN Clement,CHAMPOUSSIN Clement,Harry,1,ARK,FRA,25,0,0
19941,LAMPAERT Yves,LAMPAERT Yves,Harry,1,SOQ,BEL,32,0,0
26301,SCHELLING Ide,SCHELLING Ide,Harry,0,AST,NED,25,0,0
