renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
27716,ARENSMAN Thymen,ARENSMAN Thymen,Kaspar,13,IGD,NED,24,3,16
20770,BOUWMAN Koen,BOUWMAN Koen,Kaspar,4,TJV,NED,30,0,22
3448,CAVENDISH Mark,CAVENDISH Mark,Kaspar,4,???,GBR,38,2.5,35
9851,DEGENKOLB John,DEGENKOLB John,Kaspar,1,DSM,GER,34,0,26
25655,DEWULF Stan,DEWULF Stan,Kaspar,0,ACT,BEL,26,0,16
25026,HIGUITA Sergio,HIGUITA GARCIA Sergio Andres,Kaspar,15,BOH,COL,26,2.5,76
23948,HINDLEY Jai,HINDLEY Jai,Kaspar,13,BOH,AUS,27,9.5,46
23426,JAKOBSEN Fabio,JAKOBSEN Fabio,Kaspar,23,SOQ,NED,27,3.0,28
19953,LAPORTE Christophe,LAPORTE Christophe,Kaspar,15,TJV,FRA,31,23.0,233
20156,LATOUR Pierre,LATOUR Pierre,Kaspar,2,TEN,FRA,30,0.1,8
30166,SKJELMOSE Mattias,SKJELMOSE JENSEN Mattias,Kaspar,7,TFS,DEN,23,26.0,326
28234,TESFATSION Natnael,TESFATSION Natnael Ocbit,Kaspar,3,TFS,ERI,24,0,20
