renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
21992,PEDERSEN Mads,PEDERSEN Mads,Kees,20,LTK,DEN,28,2.8,0
18975,YATES Adam,YATES Adam,Kees,20,UAD,GBR,31,0,0
28846,HEALY Ben,HEALY Ben,Kees,10,EFE,IRL,23,0,0
32721,MARTINEZ Lenny,MARTINEZ Lenny,Kees,7,FDJ,FRA,20,0,0
29828,VAN WILDER Ilan,VAN WILDER Ilan,Kees,7,SOQ,BEL,23,0,0
22018,GEOGHEGAN HART Tao,GEOGHEGAN HART Tao,Kees,6,LTK,GBR,28,0,0
27716,ARENSMAN Thymen,ARENSMAN Thymen,Kees,5,IGD,NED,24,0,0
26508,MCNULTY Brandon,MCNULTY Brandon,Kees,4,UAD,USA,25,4.5,50
24873,FOSS Tobias Svendsen,FOSS Tobias Svendsen,Kees,2,IGD,NOR,26,0,0
20847,POLITT Nils,POLITT Nils,Kees,2,UAD,GER,29,0,0
26388,BJERG Mikkel,BJERG Mikkel,Kees,2,UAD,DEN,25,0,0
27126,MOSCHETTI Matteo,MOSCHETTI Matteo,Kees,2,Q36,ITA,27,0,0
26197,LAFAY Victor,LAFAY Victor,Kees,2,A2R,FRA,27,0,0
24180,MENTEN Milan,MENTEN Milan,Kees,2,LTD,BEL,27,0,0
33556,DEL TORO ROMERO Isaac,DEL TORO ROMERO Isaac,Kees,1,,MEX,20,2,25
33100,PELLIZZARI Giulio,PELLIZZARI Giulio,Kees,1,GBF,ITA,20,0,0
30562,FISHER-BLACK Finn,FISHER-BLACK Finn,Kees,1,UAD,NZL,22,2.4,0
32834,COSTIOU Ewen,COSTIOU Ewen,Kees,1,ARK,FRA,21,0,0
21504,DENZ Nico,DENZ Nico,Kees,1,BOH,GER,29,0,0
16941,CHAVES RUBIO Jhoan Esteban,CHAVES RUBIO Jhoan Esteban,Kees,1,EFE,COL,33,0,0
17908,TEUNS Dylan,TEUNS Dylan,Kees,1,IPT,BEL,31,0,0
16697,THEUNS Edward,THEUNS Edward,Kees,1,LTK,BEL,32,0,0
14310,MAJKA Rafal,MAJKA Rafal,Kees,1,UAD,POL,34,0,0
29419,BARONCINI Filippo,BARONCINI Filippo,Kees,0,UAD,ITA,23,0,0
