renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
23558,ASGREEN Kasper,ASGREEN Kasper,Nicky,10,SOQ,DEN,28,6.2,49
17627,BARGUIL Warren,BARGUIL Warren,Nicky,3,ARK,FRA,32,0,16
12254,BENNETT George,BENNETT George,Nicky,1,UAD,NZL,33,0,36
21812,CICCONE Giulio,CICCONE Giulio,Nicky,4,TFS,ITA,29,10.7,97
18749,FORMOLO Davide,FORMOLO Davide,Nicky,2,UAD,ITA,31,2.3,26
24255,GAUDU David,GAUDU David,Nicky,9,GFC,FRA,27,8.5,120
29474,GIRMAY Biniam,GIRMAY HAILU Biniam,Nicky,19,ICW,ERI,23,1.7,34
4179,KRISTOFF Alexander,KRISTOFF Alexander,Nicky,7,UXT,NOR,36,2.0,74
25653,KUSS Sepp,KUSS Sepp,Nicky,3,TJV,USA,29,31.0,68
23334,LOPEZ Miguel Angel,LOPEZ MORENO Miguel Angel,Nicky,5,???,COL,29,6.3,50
28037,MOZZATO Luca,MOZZATO Luca,Nicky,2,ARK,ITA,25,2.2,0
25157,NARVAEZ Jhonatan,NARVAEZ PRADO Jhonatan Manuel,Nicky,1,IGD,ECU,26,2.6,0
24110,PARET-PEINTRE Aurélien,PARET-PEINTRE Aurélien,Nicky,0,ACT,FRA,27,3.5,0
26392,PHILIPSEN Jasper,PHILIPSEN Jasper,Nicky,11,ADC,BEL,25,42.3,155
13080,PINOT Thibaut,PINOT Thibaut,Nicky,4,GFC,FRA,33,12.8,58
26378,SOSA Ivan Ramiro,SOSA CUERVO Ivan Ramiro,Nicky,7,MOV,COL,26,0.1,16
13270,TRENTIN Matteo,TRENTIN Matteo,Nicky,4,UAD,ITA,34,0,36
17794,VAN BAARLE Dylan,VAN BAARLE Dylan,Nicky,7,TJV,NED,31,15,100
19897,VAN DER HOORN Taco,VAN DER HOORN Taco,Nicky,1,ICW,NED,30,0,32
