renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
21342,CARAPAZ MONTENEGRO Richard Antonio,CARAPAZ MONTENEGRO Richard Antonio,Paul,16,EFE,ECU,30,2.0,14
19953,LAPORTE Christophe,LAPORTE Christophe,Paul,11,TJV,FRA,31,0.2,46
24316,VLASOV Alexander,VLASOV Alexander,Paul,10,BOH,RUS,27,5.9,98
28057,JORGENSON Matteo,JORGENSON Matteo,Paul,10,TJV,USA,24,15.2,118
26637,GROVES Kaden,GROVES Kaden,Paul,9,ADC,AUS,25,0,0
19651,EWAN Caleb,EWAN Caleb,Paul,7,JAY,AUS,29,0.3,0
18455,LUTSENKO Alexey,LUTSENKO Alexey,Paul,7,AST,KAZ,31,2.2,12
21812,CICCONE Giulio,CICCONE Giulio,Paul,7,LTK,ITA,29,0,0
27653,LEKNESSUND Andreas,LEKNESSUND Andreas,Paul,5,UXT,NOR,24,0,0
31263,ZINGLE Axel,ZINGLE Axel,Paul,3,COF,FRA,25,3.9,35
29192,MAYRHOFER Marius,MAYRHOFER Marius,Paul,2,TUD,GER,23,0.3,28
27151,BURGAUDEAU Mathieu,BURGAUDEAU Mathieu,Paul,2,TEN,FRA,25,0,0
27198,VALTER Attila,VALTER Attila,Paul,2,TJV,HUN,25,0,18
25165,ZIMMERMANN Georg,ZIMMERMANN Georg,Paul,2,ICW,GER,26,1,25
21958,ROTA Lorenzo,ROTA Lorenzo,Paul,2,ICW,ITA,28,0,22
18739,BUCHMANN Emanuel,BUCHMANN Emanuel,Paul,1,BOH,GER,31,1,35
23765,DUNBAR Eddie,DUNBAR Eddie,Paul,1,JAY,IRL,27,0,0
29297,ENGELHARDT Felix,ENGELHARDT Felix,Paul,1,JAY,GER,23,0,0
21212,HAIG Jack,HAIG Jack,Paul,1,TBV,AUS,30,0,8
21244,BENOOT Tiesj,BENOOT Tiesj,Paul,1,TJV,BEL,29,2,55
25552,FORTUNATO Lorenzo,FORTUNATO Lorenzo,Paul,0,AST,ITA,27,0,8
