renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
28377,EVENEPOEL Remco,EVENEPOEL Remco,Roy,65,SOQ,BEL,23,12.3,135
30643,KOOIJ Olav,KOOIJ Olav,Roy,19,TJV,NED,22,6.5,50
12843,QUINTANA ROJAS Nairo Alexander,QUINTANA ROJAS Nairo Alexander,Roy,5,MOV,COL,33,0,0
21312,TURGIS Anthony,TURGIS Anthony,Roy,3,TEN,FRA,29,0,0
3448,CAVENDISH Mark,CAVENDISH Mark,Roy,3,AST,GBR,38,0.2,0
27674,VAN DEN BERG Marijn,VAN DEN BERG Marijn,Roy,2,EFE,NED,24,0.1,14
21952,VAN GESTEL Dries,VAN GESTEL Dries,Roy,1,TEN,BEL,29,0.5,33
23334,LOPEZ MORENO Miguel Angel,LOPEZ MORENO Miguel Angel,Roy,1,MED,COL,29,0,0
7751,POELS Wout,POELS Wout,Roy,1,TBV,NED,36,0,0
30780,RONHAAR Pim,RONHAAR Pim,Roy,0,,NED,22,0,0
