renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
20917,ACKERMANN Pascal,ACKERMANN Pascal,Vel,5,UAD,GER,29,3.2,35
22616,ALLEGAERT Piet,ALLEGAERT Piet,Vel,0,COF,BEL,28,0,0
20793,ANDERSEN Søren Kragh,ANDERSEN Søren Kragh,Vel,2,ADC,DEN,29,5.6,118
28450,BATTISTELLA Samuele,BATTISTELLA Samuele,Vel,2,AST,ITA,25,0,18
20861,BAUHAUS Phil,BAUHAUS Phil,Vel,1,TBV,GER,29,1,0
20184,CAMPENAERTS Victor,CAMPENAERTS Victor,Vel,2,LTD,BEL,32,2.3,14
22681,CONSONNI Simone,CONSONNI Simone,Vel,1,COF,ITA,29,0.2,0
19448,CORT NIELSEN Magnus,CORT NIELSEN Magnus,Vel,4,EFE,DEN,30,3.1,35
26965,DAINESE Alberto,DAINESE Alberto,Vel,3,DSM,ITA,25,4.3,0
26637,GROVES Kaden,GROVES Kaden,Vel,4,ADC,AUS,25,18.3,35
17901,JUNGELS Bob,JUNGELS Bob,Vel,3,BOH,LUX,31,0,0
29907,LEEMREIZE Gijs,LEEMREIZE Gijs,Vel,1,TJV,NED,24,0,0
18455,LUTSENKO Alexey,LUTSENKO Alexey,Vel,6,AST,KAZ,31,8.2,36
26421,MEEUS Jordi,MEEUS Jordi,Vel,5,BOH,BEL,25,6.4,76
29787,PLAPP Lucas,PLAPP Lucas,Vel,5,IGD,AUS,23,2,35
17940,POLANC Jan,POLANC Jan,Vel,1,UAD,SLO,31,0,0
27033,SOBRERO Matteo,SOBRERO Matteo,Vel,2,JAY,ITA,26,0.4,0
23299,SOLER Marc,SOLER GIMENEZ Marc,Vel,2,UAD,ESP,30,1.5,20
25335,STORER Michael,STORER Michael,Vel,2,GFC,AUS,26,2.3,0
21312,TURGIS Anthony,TURGIS Anthony,Vel,3,TEN,FRA,29,1,53
31803,UIJTDEBROEKS Cian,UIJTDEBROEKS Cian,Vel,2,BOH,BEL,20,2,62
21971,VAN DER POEL Mathieu,VAN DER POEL Mathieu,Vel,40,ADC,NED,28,70.3,365
29568,VINE Jay,VINE Jay,Vel,2,UAD,AUS,28,10,62
27749,ZANA Filippo,ZANA Filippo,Vel,2,JAY,ITA,24,6,64
