renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
26526,POGACAR Tadej,POGACAR Tadej,Wijnand,85,UAD,SLO,25,177.6,389
20960,KUNG Stefan,KUNG Stefan,Wijnand,8,FDJ,SUI,30,5.0,91
30635,HAYTER Leo,HAYTER Leo,Wijnand,1,IGD,GBR,22,0,0
28451,ALEOTTI Giovanni,ALEOTTI Giovanni,Wijnand,1,BOH,ITA,24,4.3,66
18413,MEINTJES Louis,MEINTJES Louis,Wijnand,1,ICW,RSA,31,2,0
31889,JACKSON George,JACKSON George,Wijnand,1,BBH,NZL,23,0,0
22596,DE KLEIJN Arvid,DE KLEIJN Arvid,Wijnand,1,TUD,NED,29,7.6,64
28186,MULUBRHAN Henok,MULUBRHAN Henok,Wijnand,1,AST,ERI,24,1,55
6177,CARUSO Damiano,CARUSO Damiano,Wijnand,1,TBV,ITA,36,0,0
28641,MARIT Arne,MARIT Arne,Wijnand,0,ICW,BEL,24,0,0
