category,position,points,JPP
1.1,1,2,0
1.1,2,0.3,0
1.1,3,0.1,0
2.1,1,2,0
2.1,2,0.3,0
2.1,3,0.1,0
1.PS,1,4,50
1.PS,2,1,35
1.PS,3,0.5,25
1.PS,4,0,20
1.PS,5,0,18
1.PS,6,0,16
1.PS,7,0,14
1.PS,8,0,12
1.PS,9,0,10
1.PS,10,0,8
2.PS,1,4,50
2.PS,2,1,35
2.PS,3,0.5,25
2.PS,4,0,20
2.PS,5,0,18
2.PS,6,0,16
2.PS,7,0,14
2.PS,8,0,12
2.PS,9,0,10
2.PS,10,0,8
2.WT1,1,10,50
2.WT1,2,3,35
2.WT1,3,1,25
2.WT1,4,0.5,20
2.WT1,5,0.2,18
2.WT1,6,0,16
2.WT1,7,0,14
2.WT1,8,0,12
2.WT1,9,0,10
2.WT1,10,0,8
2.WT2,1,5,50
2.WT2,2,2,35
2.WT2,3,0.5,25
2.WT2,4,0,20
2.WT2,5,0,18
2.WT2,6,0,16
2.WT2,7,0,14
2.WT2,8,0,12
2.WT2,9,0,10
2.WT2,10,0,8
2.WT3,1,5,50
2.WT3,2,2,35
2.WT3,3,1,25
2.WT3,4,0,20
2.WT3,5,0,18
2.WT3,6,0,16
2.WT3,7,0,14
2.WT3,8,0,12
2.WT3,9,0,10
2.WT3,10,0,8
1.WT1,1,15,50
1.WT1,2,3,35
1.WT1,3,2,25
1.WT1,4,1,20
1.WT1,5,0.5,18
1.WT1,6,0,16
1.WT1,7,0,14
1.WT1,8,0,12
1.WT1,9,0,10
1.WT1,10,0,8
1.WT2,1,10,50
1.WT2,2,3,35
1.WT2,3,1,25
1.WT2,4,0.5,20
1.WT2,5,0.2,18
1.WT2,6,0,16
1.WT2,7,0,14
1.WT2,8,0,12
1.WT2,9,0,10
1.WT2,10,0,8
1.WT3,1,5,50
1.WT3,2,2,35
1.WT3,3,1,25
1.WT3,4,0,20
1.WT3,5,0,18
1.WT3,6,0,16
1.WT3,7,0,14
1.WT3,8,0,12
1.WT3,9,0,10
1.WT3,10,0,8
GT1,1,40,50
GT1,2,15,35
GT1,3,10,25
GT1,4,7,20
GT1,5,6,18
GT1,6,5,16
GT1,7,5,14
GT1,8,4,12
GT1,9,4,10
GT1,10,4,8
GT1,11,3,0
GT1,12,3,0
GT1,13,2,0
GT1,14,2,0
GT1,15,2,0
GT1,16,1,0
GT1,17,1,0
GT1,18,1,0
GT1,19,1,0
GT1,20,1,0
GT2,1,25,50
GT2,2,10,35
GT2,3,7,25
GT2,4,5,20
GT2,5,4,18
GT2,6,3,16
GT2,7,3,14
GT2,8,2,12
GT2,9,2,10
GT2,10,2,8
GT2,11,1,0
GT2,12,1,0
GT2,13,1,0
GT2,14,1,0
GT2,15,1,0
WCRR,1,25,50
WCRR,2,5,35
WCRR,3,3,25
WCRR,4,2,20
WCRR,5,1.5,18
WCRR,6,1,16
WCRR,7,0.8,14
WCRR,8,0.6,12
WCRR,9,0.4,10
WCRR,10,0.2,8
NC5,1,1,0
NCT1,1,2,0
NCT3,1,1,0
NCT5,1,0.5,0
CC2,1,1,0
CCT1,1,2,0
CCT2,1,0.5,0
2.1s,1,0.2,0
2.PSs,1,0.3,0
2.WT1s,1,1,0
2.WT2s,1,0.5,0
2.WT3s,1,0.5,0
GT1s,-3,0.2,0
GT1s,-2,0.2,0
GT1s,-1,0.1,0
GT1s,-4,1,0
GT1s,1,3,0
GT2s,-3,0.2,0
GT2s,-2,0.2,0
GT2s,-1,0.1,0
GT2s,-4,1,0
GT2s,1,2,0
GT1r,1,7,0
GT1,-1,3,0
GT2r,1,5,0
GT2,-1,2,0
1.HC,1,4,50
1.HC,2,1,35
1.HC,3,0.5,25
1.HC,4,0,20
1.HC,5,0,18
1.HC,6,0,16
1.HC,7,0,14
1.HC,8,0,12
1.HC,9,0,10
1.HC,10,0,8
2.HC,1,4,50
2.HC,2,1,35
2.HC,3,0.5,25
2.HC,4,0,20
2.HC,5,0,18
2.HC,6,0,16
2.HC,7,0,14
2.HC,8,0,12
2.HC,9,0,10
2.HC,10,0,8
2.HCs,1,0.2,0
WCTT,1,10,50
WCTT,2,3,35
WCTT,3,1,25
WCTT,4,0.5,20
WCTT,5,0.2,18
WCTT,6,0,16
WCTT,7,0,14
WCTT,8,0,12
WCTT,9,0,10
WCTT,10,0,8
