race,first_cycling_id,category
Tour Down Under,1,2.WT1
Cadel Road Race,1172,1.WT3
UAE Tour,9800,2.WT3
Omloop Het Nieuwsblad,53,1.WT3
Strade Bianche,54,1.WT2
Paris-Nice,2,2.WT1
Tirreno-Adriatico,3,2.WT1
Milano-Sanremo,4,1.WT1
Volta Catalunya,14,2.WT1
Classic Brugge-De Panne,40,1.WT3
E3 Saxo Classic,47,1.WT3
Gent - Wevelgem,7,1.WT2
Dwars door Vlaanderen,75,1.WT3
Ronde van Vlaanderen,5,1.WT1
Itzulia Basque Country,6,2.WT1
Paris-Roubaix,8,1.WT1
Amstel Gold Race,9,1.WT1
La Flèche Wallonne,10,1.WT2
Liege-Bastogne-Liege,11,1.WT1
Tour de Romandie,12,2.WT1
Eschborn-Frankfurt,35,1.WT3
Giro d'Italia,13,GT2
Critérium Dauphiné,15,2.WT1
Tour de Suisse,16,2.WT1
Tour de France,17,GT1
Donostia San Sebastian Klasikoa,18,1.WT2
Tour de Pologne,19,2.WT2
BEMER Cyclassics,20,1.WT2
Renewi Tour,21,2.WT2
Vuelta a España,23,GT2
Bretagne Classic,22,1.WT2
GP Quebec,59,1.WT2
GP Montreal,58,1.WT2
Il Lombardia,24,1.WT1
Gree - Tour of Guangxi,7591,2.WT3
