race_id,start_number,rider,cq_rider_id,team,country,team_captain,team_captain_id,price,dropped_out
196,4,Johannes Staune-Mittet,31550,Team Visma | Lease a Bike,NOR,Albert Kraaij,Albert,2,
196,13,Axel Laurance,31621,Alpecin-Deceuninck,FRA,Jan Versluys,Jan,2,
196,23,Clément Champoussin,27153,ARKEA-B&B HOTELS,FRA,Harry Koene,Harry,1,1
196,25,Kévin Vauquelin,31264,ARKEA-B&B HOTELS,FRA,Albert Kraaij,Albert,5,1
196,26,Jenthe Biermans,22010,ARKEA-B&B HOTELS,BEL,Frank Rozemeijer,Frank,0,
196,31,Davide Ballerini,22020,Astana Qazaqstan Team,ITA,Harry Koene,Harry,3,
196,33,Alberto Bettiol,20697,Astana Qazaqstan Team,ITA,Pieter-Bas de Bruijn,PB,1,1
196,36,Henok Mulubrhan,28186,Astana Qazaqstan Team,ERI,Wijnand Baretta,Wijnand,1,
196,37,Alexey Lutsenko,18455,Astana Qazaqstan Team,KAZ,Paul van Doorn,Paul,7,1
196,42,Ion Izagirre,14321,Cofidis,ESP,Pieter-Bas de Bruijn,PB,2,
196,46,Axel Zingle,31263,Cofidis,FRA,Paul van Doorn,Paul,3,
196,53,Dorian Godon,25704,Decathlon AG2R La Mondiale,FRA,Pieter-Bas de Bruijn,PB,3,
196,64,Rui Costa,6807,EF Education-EasyPost,POR,Harry Koene,Harry,2,1
196,65,Neilson Powless,24902,EF Education-EasyPost,USA,Harry Koene,Harry,10,
196,67,Marijn van den Berg,27674,EF Education-EasyPost,NED,Roy Smits,Roy,2,
196,76,Rune Herregodts,28392,Intermarché-Wanty,BEL,Frank Vellinga,Vel,0,
196,91,Alex Aranburu,23940,Movistar Team,ESP,Harry Koene,Harry,4,
196,93,Iván García Cortina,23497,Movistar Team,ESP,Pieter-Bas de Bruijn,PB,1,1
196,96,Oier Lazkano,30595,Movistar Team,ESP,Frank Rozemeijer,Frank,6,1
196,101,Primoz Roglic,20719,Red Bull-BORA-hansgrohe,SLO,Frank Rozemeijer,Frank,43,1
196,102,Matteo Sobrero,27033,Red Bull-BORA-hansgrohe,ITA,Frank Vellinga,Vel,2,1
196,106,Giovanni Aleotti,28451,Red Bull-BORA-hansgrohe,ITA,Wijnand Baretta,Wijnand,1,
196,107,Sergio Higuita,25026,Red Bull-BORA-hansgrohe,COL,Jan Versluys,Jan,4,
196,111,Remco Evenepoel,28377,Soudal Quick-Step,BEL,Roy Smits,Roy,65,
196,117,Mauri Vansevenant,28580,Soudal Quick-Step,BEL,Jan Versluys,Jan,2,
196,121,Felix Engelhardt,29297,Team Jayco-AlUla,GER,Paul van Doorn,Paul,1,
196,126,Michael Matthews,13066,Team Jayco-AlUla,AUS,Pieter-Bas de Bruijn,PB,3,
196,131,Filippo Baroncini,29419,UAE Team Emirates,ITA,Kees van Ommeren,Kees,0,
196,134,Pavel Sivakov,24934,UAE Team Emirates,FRA,Albert Kraaij,Albert,7,
196,135,Finn Fisher-Black,30562,UAE Team Emirates,NZL,Kees van Ommeren,Kees,1,
196,136,Marc Hirschi,26509,UAE Team Emirates,SUI,Bram van Ommeren,Bram,14,
196,137,Tim Wellens,16722,UAE Team Emirates,BEL,Jan Versluys,Jan,5,1
196,177,Corbin Strong,29492,Israel-Premier Tech,NZL,Pieter-Bas de Bruijn,PB,6,
196,182,Jasper De Buyst,19274,Lotto Dstny,BEL,Frank Rozemeijer,Frank,1,1
196,211,Mathieu Burgaudeau,27151,TotalEnergies,FRA,Paul van Doorn,Paul,2,
190,,Santiago Buitrago,29699,Bahrain Victorious,COL,Pieter-Bas de Bruijn,PB,5,
190,,Damiano Caruso,6177,Bahrain Victorious,ITA,Wijnand Baretta,Wijnand,1,
190,,Wout Poels,7751,Bahrain Victorious,NED,Roy Smits,Roy,1,
190,,Ion Izagirre,14321,Cofidis,ESP,Pieter-Bas de Bruijn,PB,2,
190,,Guillaume Martin,19994,Cofidis,FRA,Nick Veenstra,Nicky,3,
190,,Esteban Chaves,16941,EF Education-EasyPost,COL,Kees van Ommeren,Kees,1,
190,,Rui Costa,6807,EF Education-EasyPost,POR,Harry Koene,Harry,2,
190,,Ben Healy,28846,EF Education-EasyPost,IRL,Kees van Ommeren,Kees,10,
190,,Neilson Powless,24902,EF Education-EasyPost,USA,Harry Koene,Harry,10,
190,,David Gaudu,24255,Groupama-FDJ,FRA,Pieter-Bas de Bruijn,PB,8,
190,,Romain Grégoire,32766,Groupama-FDJ,FRA,Jan Versluys,Jan,9,
190,,Thymen Arensman,27716,INEOS Grenadiers,NED,Kees van Ommeren,Kees,5,
190,,Tobias Foss,24873,INEOS Grenadiers,NOR,Kees van Ommeren,Kees,2,
190,,Ethan Hayter,27025,INEOS Grenadiers,GBR,Bram van Ommeren,Bram,9,
190,,Tom Pidcock,27708,INEOS Grenadiers,GBR,Frank Vellinga,Vel,20,
190,,Brandon Rivera,26283,INEOS Grenadiers,COL,Arjan Knibbe,Arjan,0,
190,,Rune Herregodts,28392,Intermarché-Wanty,BEL,Frank Vellinga,Vel,0,
190,,Louis Meintjes,18413,Intermarché-Wanty,RSA,Wijnand Baretta,Wijnand,1,
190,,Georg Zimmermann,25165,Intermarché-Wanty,GER,Paul van Doorn,Paul,2,
190,,Jasper De Buyst,19274,Lotto Dstny,BEL,Frank Rozemeijer,Frank,1,
190,,Florian Vermeersch,28127,Lotto Dstny,BEL,Albert Kraaij,Albert,4,
