race_id,start_number,rider,cq_rider_id,team,country,team_captain,team_captain_id,price,dropped_out
93,2,Fernando Gaviria,20777,Movistar Team,COL,Albert Kraaij,Albert,1,
93,7,Gonzalo Serrano,22669,Movistar Team,BEL,-,-,-,
93,12,Quinten Hermans,22077,Alpecin-Deceuninck,BEL,-,-,-,
93,15,Oscar Riesebeek,17793,Alpecin-Deceuninck,NED,-,-,-,
93,21,Vincenzo Albanese,24139,ARKEA-B&B HOTELS,ITA,-,-,-,
93,22,Louis Barré,30055,ARKEA-B&B HOTELS,FRA,-,-,-,
93,25,Clément Champoussin,27153,ARKEA-B&B HOTELS,FRA,Harry Koene,Harry,1,
93,27,Clément Venturini,21428,ARKEA-B&B HOTELS,FRA,-,-,-,
93,31,Davide Ballerini,22020,Astana Qazaqstan Team,ITA,Harry Koene,Harry,3,
93,33,Yevgeniy Fedorov,29309,Astana Qazaqstan Team,KAZ,Pieter-Bas de Bruijn,PB,1,
93,41,Axel Zingle,31263,Cofidis,FRA,Paul van Doorn,Paul,3,
93,42,Guillaume Martin,19994,Cofidis,FRA,Nick Veenstra,Nicky,3,
93,43,Bryan Coquard,18714,Cofidis,FRA,Nick Veenstra,Nicky,2,
93,47,Stefano Oldani,27072,Cofidis,ITA,-,-,-,
93,51,Benoît Cosnefroy,24189,Decathlon AG2R La Mondiale,FRA,Bram van Ommeren,Bram,8,
93,52,Dries De Bondt,22005,Decathlon AG2R La Mondiale,BEL,-,-,-,
93,63,Kobe Goossens,23771,Intermarché-Wanty,BEL,-,-,-,
93,64,Madis Mihkels,32946,Intermarché-Wanty,EST,Jan Versluys,Jan,0,
93,65,Hugo Page,30663,Intermarché-Wanty,FRA,Jan Versluys,Jan,2,
93,66,Mike Teunissen,19165,Intermarché-Wanty,NED,Albert Kraaij,Albert,1,
93,67,Georg Zimmermann,25165,Intermarché-Wanty,GER,Paul van Doorn,Paul,2,
93,71,Marco Haller,15281,Red Bull-BORA-hansgrohe,AUT,-,-,-,
93,73,Roger Adrià,27469,Red Bull-BORA-hansgrohe,ESP,-,-,-,
93,77,Ben Zwiehoff,31491,Red Bull-BORA-hansgrohe,GER,-,-,-,
93,81,Filippo Baroncini,29419,UAE Team Emirates,ITA,Kees van Ommeren,Kees,0,
93,82,Mikkel Bjerg,26388,UAE Team Emirates,DEN,Kees van Ommeren,Kees,2,
93,85,Sebastian Molano,23463,UAE Team Emirates,COL,Pieter-Bas de Bruijn,PB,3,
93,86,Rui Oliveira,24030,UAE Team Emirates,POR,-,-,-,
93,87,Tim Wellens,16722,UAE Team Emirates,BEL,Jan Versluys,Jan,5,
93,95,Lennert Teugels,27102,Bingoal WB,BEL,-,-,-,
93,97,Loic Vliegen,19577,Bingoal WB,BEL,-,-,-,
93,111,Jon Aberasturi,15286,Euskaltel-Euskadi,ESP,-,-,-,
93,113,Gotzon Martín,27134,Euskaltel-Euskadi,ESP,-,-,-,
93,122,Simon Clarke,3366,Israel-Premier Tech,AUS,-,-,-,
93,124,Nick Schultz,22744,Israel-Premier Tech,AUS,-,-,-,
93,126,Dylan Teuns,17908,Israel-Premier Tech,BEL,Kees van Ommeren,Kees,1,
93,131,Jenno Berckmoes,32588,Lotto Dstny,BEL,-,-,-,
93,132,Jasper De Buyst,19274,Lotto Dstny,BEL,Frank Rozemeijer,Frank,1,
93,134,Arnaud De Lie,32221,Lotto Dstny,BEL,Pieter-Bas de Bruijn,PB,24,
93,144,Nickolas Zukowsky,26354,Q36.5 Pro Cycling Team,CAN,-,-,-,
93,154,Aaron Van Poucke,28577,Team Flanders-Baloise,BEL,-,-,-,
93,161,Mathieu Burgaudeau,27151,TotalEnergies,FRA,Paul van Doorn,Paul,2,
93,163,Lorrenzo Manzin,21343,TotalEnergies,FRA,-,-,-,
93,164,Julien Simon,7834,TotalEnergies,FRA,-,-,-,
93,165,Geoffrey Soupe,13560,TotalEnergies,FRA,-,-,-,
93,166,Sandy Dujardin,28583,TotalEnergies,FRA,-,-,-,
93,176,Sebastien Reichenbach,13740,Tudor Pro Cycling Team,SUI,-,-,-,
93,177,Matteo Trentin,13270,Tudor Pro Cycling Team,ITA,Jan Versluys,Jan,2,
93,185,Søren Wærenskjold,29187,Uno-X Mobility,NOR,Albert Kraaij,Albert,4,
37,1,Marc Hirschi,26509,UAE Team Emirates,SUI,Bram van Ommeren,Bram,14,
37,3,Juan Ayuso,31654,UAE Team Emirates,ESP,Frank Rozemeijer,Frank,25,
37,4,Finn Fisher-Black,30562,UAE Team Emirates,NZL,Kees van Ommeren,Kees,1,
37,5,Felix Großschartner,19548,UAE Team Emirates,AUT,Frank Vellinga,Vel,3,
37,6,Nils Politt,20847,UAE Team Emirates,GER,Kees van Ommeren,Kees,2,
37,11,Mathieu van der Poel,21971,Alpecin-Deceuninck,NED,Harry Koene,Harry,70,
37,14,Søren Kragh Andersen,20793,Alpecin-Deceuninck,DEN,Frank Vellinga,Vel,6,
37,21,Damiano Caruso,6177,Bahrain Victorious,ITA,Wijnand Baretta,Wijnand,1,
37,22,Robert Stannard,26409,Bahrain Victorious,AUS,-,-,-,
37,23,Antonio Tiberi,30649,Bahrain Victorious,ITA,-,-,-,
37,26,Fred Wright,28446,Bahrain Victorious,GBR,Albert Kraaij,Albert,4,
37,36,Andrea Vendrame,22170,Decathlon AG2R La Mondiale,ITA,-,-,-,
37,41,Rui Costa,6807,EF Education-EasyPost,POR,Harry Koene,Harry,2,
37,42,Esteban Chaves,16941,EF Education-EasyPost,COL,Kees van Ommeren,Kees,1,
37,43,Archie Ryan,30565,EF Education-EasyPost,IRL,-,-,-,
37,45,Jonas Rutsch,26438,EF Education-EasyPost,GER,-,-,-,
37,51,Kevin Geniets,25763,Groupama-FDJ,LUX,-,-,-,
37,52,Laurence Pithie,31638,Groupama-FDJ,NZL,Pieter-Bas de Bruijn,PB,1,
37,53,David Gaudu,24255,Groupama-FDJ,FRA,Pieter-Bas de Bruijn,PB,8,
37,54,Valentin Madouas,24758,Groupama-FDJ,FRA,Nick Veenstra,Nicky,11,
37,55,Rudy Molard,11818,Groupama-FDJ,FRA,-,-,-,
37,64,Mads Pedersen,21992,Lidl-Trek,DEN,Kees van Ommeren,Kees,20,
37,65,Mattias Skjelmose,30166,Lidl-Trek,DEN,Kaspar Burghard,Kaspar,18,
37,66,Quinn Simmons,30666,Lidl-Trek,USA,Bram van Ommeren,Bram,1,
37,71,Alex Aranburu,23940,Movistar Team,ESP,Harry Koene,Harry,4,
37,72,Ruben Guerreiro,22683,Movistar Team,POR,Jan Versluys,Jan,1,
37,74,William Barta,23362,Movistar Team,USA,-,-,-,
37,75,Davide Formolo,18749,Movistar Team,ITA,Nick Veenstra,Nicky,6,
37,82,Mauri Vansevenant,28580,Soudal Quick-Step,BEL,Jan Versluys,Jan,2,
37,92,Christophe Laporte,19953,Team Visma | Lease a Bike,FRA,Paul van Doorn,Paul,11,
37,93,Wilco Kelderman,15171,Team Visma | Lease a Bike,NED,Albert Kraaij,Albert,1,
37,94,Bart Lemmen,32252,Team Visma | Lease a Bike,NED,-,-,-,
37,95,Johannes Staune-Mittet,31550,Team Visma | Lease a Bike,NOR,Albert Kraaij,Albert,2,
37,102,Harm Vanhoucke,25652,Lotto Dstny,BEL,-,-,-,
37,103,Andreas Kron,26420,Lotto Dstny,DEN,Frank Rozemeijer,Frank,4,
37,104,Mathijs Paasschens,27103,Lotto Dstny,NED,-,-,-,
37,106,Jonas Gregaard,23437,Lotto Dstny,DEN,-,-,-,
37,113,Carl Fredrik Hagen,23436,Q36.5 Pro Cycling Team,NOR,-,-,-,
37,125,Andreas Stokbro Nielsen,24953,TdT-Unibet,DEN,-,-,-,
37,126,Adam Toupalik,23787,TdT-Unibet,CZE,-,-,-,
37,153,Pierre Latour,20156,TotalEnergies,FRA,-,-,-,
37,154,Paul Ourselin,23509,TotalEnergies,FRA,-,-,-,
37,155,Anthony Turgis,21312,TotalEnergies,FRA,Roy Smits,Roy,3,
37,156,Alexis Vuillermoz,16979,TotalEnergies,FRA,-,-,-,
37,163,Alexander Kamp,19391,Tudor Pro Cycling Team,DEN,-,-,-,
37,165,Michael Storer,25335,Tudor Pro Cycling Team,AUS,Albert Kraaij,Albert,2,
37,166,Sebastien Reichenbach,13740,Tudor Pro Cycling Team,SUI,-,-,-,
37,171,Idar Andersen,27652,Uno-X Mobility,NOR,-,-,-,
37,172,Odd Christian Eiking,21405,Uno-X Mobility,NOR,-,-,-,
37,176,Magnus Cort,19448,Uno-X Mobility,DEN,Nick Veenstra,Nicky,3,
37,181,Bob Jungels,17901,Luxembourg,LUX,-,-,-,
168,1,Jasper Philipsen,26392,Alpecin-Deceuninck,BEL,Nick Veenstra,Nicky,28,
168,6,Oscar Riesebeek,17793,Alpecin-Deceuninck,NED,-,-,-,
168,7,Gianni Vermeersch,18247,Alpecin-Deceuninck,BEL,-,-,-,
168,11,Vincenzo Albanese,24139,ARKEA-B&B HOTELS,ITA,-,-,-,
168,12,Jenthe Biermans,22010,ARKEA-B&B HOTELS,BEL,Frank Rozemeijer,Frank,0,
168,14,Daniel McLay,18498,ARKEA-B&B HOTELS,GBR,-,-,-,
168,16,Florian Sénéchal,19903,ARKEA-B&B HOTELS,FRA,Albert Kraaij,Albert,3,
168,17,Clément Venturini,21428,ARKEA-B&B HOTELS,FRA,-,-,-,
168,23,Rune Herregodts,28392,Intermarché-Wanty,BEL,Frank Vellinga,Vel,0,
168,24,Madis Mihkels,32946,Intermarché-Wanty,EST,Jan Versluys,Jan,0,
168,25,Laurenz Rex,28442,Intermarché-Wanty,BEL,-,-,-,
168,26,Mike Teunissen,19165,Intermarché-Wanty,NED,Albert Kraaij,Albert,1,
168,27,Taco van der Hoorn,19897,Intermarché-Wanty,NED,-,-,-,
168,31,Simone Consonni,22681,Lidl-Trek,ITA,-,-,-,
168,33,Daan Hoole,27709,Lidl-Trek,NED,-,-,-,
168,34,Jonathan Milan,29359,Lidl-Trek,ITA,Albert Kraaij,Albert,6,
168,36,Toms Skujins,16739,Lidl-Trek,LAT,-,-,-,
168,37,Natnael Tesfazion,28234,Lidl-Trek,ERI,-,-,-,
168,42,Fernando Gaviria,20777,Movistar Team,COL,Albert Kraaij,Albert,1,
168,47,Gonzalo Serrano,22669,Movistar Team,BEL,-,-,-,
168,52,Marco Haller,15281,Red Bull-BORA-hansgrohe,AUT,-,-,-,
168,54,Jordi Meeus,26421,Red Bull-BORA-hansgrohe,BEL,Frank Vellinga,Vel,5,
168,56,Danny van Poppel,19242,Red Bull-BORA-hansgrohe,NED,Albert Kraaij,Albert,2,
168,57,Sam Welsford,23517,Red Bull-BORA-hansgrohe,AUS,Albert Kraaij,Albert,4,
168,61,John Degenkolb,9851,Team dsm-firmenich PostNL,GER,Kaspar Burghard,Kaspar,0,
168,71,Caleb Ewan,19651,Team Jayco-AlUla,AUS,Paul van Doorn,Paul,7,
168,81,Rui Oliveira,24030,UAE Team Emirates,POR,-,-,-,
168,82,Filippo Baroncini,29419,UAE Team Emirates,ITA,Kees van Ommeren,Kees,0,
168,83,Mikkel Bjerg,26388,UAE Team Emirates,DEN,Kees van Ommeren,Kees,2,
168,86,Sebastian Molano,23463,UAE Team Emirates,COL,Pieter-Bas de Bruijn,PB,3,
168,87,Tim Wellens,16722,UAE Team Emirates,BEL,Jan Versluys,Jan,5,
168,97,Loic Vliegen,19577,Bingoal WB,BEL,-,-,-,
168,111,Jon Aberasturi,15286,Euskaltel-Euskadi,ESP,-,-,-,
168,115,Gotzon Martín,27134,Euskaltel-Euskadi,ESP,-,-,-,
168,121,Pascal Ackermann,20917,Israel-Premier Tech,GER,Jan Versluys,Jan,2,
168,122,Guillaume Boivin,10856,Israel-Premier Tech,CAN,-,-,-,
168,123,Hugo Hofstetter,22702,Israel-Premier Tech,FRA,Pieter-Bas de Bruijn,PB,1,
168,132,Mathieu Burgaudeau,27151,TotalEnergies,FRA,Paul van Doorn,Paul,2,
168,133,Sandy Dujardin,28583,TotalEnergies,FRA,-,-,-,
168,136,Dries van Gestel,21952,TotalEnergies,BEL,Roy Smits,Roy,1,
168,145,Marius Mayrhofer,29192,Tudor Pro Cycling Team,GER,Paul van Doorn,Paul,2,
168,147,Matteo Trentin,13270,Tudor Pro Cycling Team,ITA,Jan Versluys,Jan,2,
168,154,Alexander Kristoff,4179,Uno-X Mobility,NOR,Nick Veenstra,Nicky,2,
168,156,Rasmus Tiller,25623,Uno-X Mobility,NOR,Jan Versluys,Jan,4,
168,157,Søren Wærenskjold,29187,Uno-X Mobility,NOR,Albert Kraaij,Albert,4,
168,171,Piet Allegaert,22616,Cofidis,BEL,-,-,-,
168,172,Stanislaw Aniolkowski,24940,Cofidis,POL,-,-,-,
168,175,Christophe Noppe,22615,Cofidis,BEL,-,-,-,
168,176,Stefano Oldani,27072,Cofidis,ITA,-,-,-,
168,181,Cédric Beullens,25580,Lotto Dstny,BEL,-,-,-,
168,182,Jasper De Buyst,19274,Lotto Dstny,BEL,Frank Rozemeijer,Frank,1,
168,183,Arnaud De Lie,32221,Lotto Dstny,BEL,Pieter-Bas de Bruijn,PB,24,
168,186,Lionel Taminiaux,23416,Lotto Dstny,BEL,-,-,-,
168,191,Julian Alaphilippe,18610,Soudal Quick-Step,FRA,Kaspar Burghard,Kaspar,18,
168,194,Yves Lampaert,19941,Soudal Quick-Step,BEL,Harry Koene,Harry,1,
