rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,1.1,BetCity Elfstedenrace,42269,PHILIPSEN Jasper,26392,2,0,2023-10-04,Nicky
2,1.1,BetCity Elfstedenrace,42269,KOOIJ Olav,30643,0.3,0,2023-10-04,Albert
3,1.1,BetCity Elfstedenrace,42269,BOMBOI Davide,30543,0.1,0,2023-10-04,-
1,1.PS,Tre Valli Varesine,42262,VAN WILDER Ilan,29828,4,50,2023-10-03,Wijnand
2,1.PS,Tre Valli Varesine,42262,CARAPAZ MONTENEGRO Richard Antonio,21342,1,35,2023-10-03,Wijnand
3,1.PS,Tre Valli Varesine,42262,VLASOV Aleksandr,24316,0.5,25,2023-10-03,Harry
4,1.PS,Tre Valli Varesine,42262,ROGLIC Primoz,20719,0,20,2023-10-03,Bram
5,1.PS,Tre Valli Varesine,42262,POGACAR Tadej,26526,0,18,2023-10-03,Kees
6,1.PS,Tre Valli Varesine,42262,WOODS Michael,20257,0,16,2023-10-03,Albert
7,1.PS,Tre Valli Varesine,42262,ZANA Filippo,27749,0,14,2023-10-03,Vel
8,1.PS,Tre Valli Varesine,42262,IZAGIRRE INSAUSTI Ion,14321,0,12,2023-10-03,Harry
9,1.PS,Tre Valli Varesine,42262,RODRIGUEZ CANO Carlos,30836,0,10,2023-10-03,Roy
10,1.PS,Tre Valli Varesine,42262,O'CONNOR Ben,23763,0,8,2023-10-03,Harry
1,1.PS,Münsterland Giro,42263,HAGENES Per Strand,30442,4,50,2023-10-03,-
2,1.PS,Münsterland Giro,42263,GROVES Kaden,26637,1,35,2023-10-03,Vel
3,1.PS,Münsterland Giro,42263,PEDERSEN Mads,21992,0.5,25,2023-10-03,Harry
4,1.PS,Münsterland Giro,42263,EEKHOFF Nils,26429,0,20,2023-10-03,-
5,1.PS,Münsterland Giro,42263,LAPORTE Christophe,19953,0,18,2023-10-03,Kaspar
6,1.PS,Münsterland Giro,42263,VAN POPPEL Danny,19242,0,16,2023-10-03,Jan
7,1.PS,Münsterland Giro,42263,WAERENSKJOLD Søren,29187,0,14,2023-10-03,-
8,1.PS,Münsterland Giro,42263,AFFINI Edoardo,24794,0,12,2023-10-03,Paul
9,1.PS,Münsterland Giro,42263,PLANCKAERT Edward,24308,0,10,2023-10-03,-
10,1.PS,Münsterland Giro,42263,KOCH Jonas,19616,0,8,2023-10-03,-
1,1.1,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,42259,MOZZATO Luca,28037,2,0,2023-10-03,Nicky
2,1.1,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,42259,THEUNS Edward,16697,0.3,0,2023-10-03,Harry
3,1.1,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,42259,KRAGH ANDERSEN Søren,20793,0.1,0,2023-10-03,Vel
1,1.PS,Coppa Bernocchi,42261,VAN AERT Wout,20730,4,50,2023-10-02,Frank
2,1.PS,Coppa Bernocchi,42261,ALBANESE Vincenzo,24139,1,35,2023-10-02,Harry
3,1.PS,Coppa Bernocchi,42261,BAGIOLI Andrea,28452,0.5,25,2023-10-02,Albert
4,1.PS,Coppa Bernocchi,42261,HIRSCHI Marc,26509,0,20,2023-10-02,Bram
5,1.PS,Coppa Bernocchi,42261,MASNADA Fausto,20535,0,18,2023-10-02,Paul
6,1.PS,Coppa Bernocchi,42261,BENOOT Tiesj,21244,0,16,2023-10-02,Paul
7,1.PS,Coppa Bernocchi,42261,SCARONI Christian,27002,0,14,2023-10-02,-
8,1.PS,Coppa Bernocchi,42261,ALAPHILIPPE Julian,18610,0,12,2023-10-02,Arjan
9,1.PS,Coppa Bernocchi,42261,TRATNIK Jan,12748,0,10,2023-10-02,Kees
10,1.PS,Coppa Bernocchi,42261,IZAGIRRE INSAUSTI Ion,14321,0,8,2023-10-02,Harry
1,2.1,"Cro Race, General classification",42242,AULAR SANABRIA Orluis Alberto,24326,2,0,2023-10-01,PB
2,2.1,"Cro Race, General classification",42242,KRISTOFF Alexander,4179,0.3,0,2023-10-01,Nicky
3,2.1,"Cro Race, General classification",42242,HAYTER Ethan,27025,0.1,0,2023-10-01,Jan
1,1.1,Famenne Ardenne Classic,42260,DE LIE Arnaud,32221,2,0,2023-10-01,Wijnand
2,1.1,Famenne Ardenne Classic,42260,GROVES Kaden,26637,0.3,0,2023-10-01,Vel
3,1.1,Famenne Ardenne Classic,42260,SENECHAL Florian,19903,0.1,0,2023-10-01,Wijnand
1,1.1,Tour de Vendée,42159,DEMARE Arnaud,16653,2,0,2023-10-01,Wijnand
2,1.1,Tour de Vendée,42159,PENHOËT Paul,30686,0.3,0,2023-10-01,-
3,1.1,Tour de Vendée,42159,DUJARDIN Sandy,28583,0.1,0,2023-10-01,-
1,2.1s,"Cro Race, Stage 6 : Samobor - Zagreb",42241,STEWART Campbell,27557,0.2,0,2023-10-01,-
1,NCT3,National Championships Switzerland (Gansingen) I.T.T.,42108,BISSEGGER Stefan,26376,1,0,2023-10-01,Bram
1,2.PS,"Tour de Langkawi, General classification",42298,CARR Simon,30010,4,50,2023-09-30,-
2,2.PS,"Tour de Langkawi, General classification",42298,CEPEDA ORTIZ Jefferson Alexander,26775,1,35,2023-09-30,-
3,2.PS,"Tour de Langkawi, General classification",42298,CASTRILLO ZAPATER Pablo,34135,0.5,25,2023-09-30,-
4,2.PS,"Tour de Langkawi, General classification",42298,BOU COMPANY Joan,27598,0,20,2023-09-30,-
5,2.PS,"Tour de Langkawi, General classification",42298,PRONSKIY Vadim,26676,0,18,2023-09-30,-
6,2.PS,"Tour de Langkawi, General classification",42298,DOUBLE Paul,27721,0,16,2023-09-30,-
7,2.PS,"Tour de Langkawi, General classification",42298,VAN ENGELEN Adne,24796,0,14,2023-09-30,-
8,2.PS,"Tour de Langkawi, General classification",42298,AGIRRE EGAÑA Jon,30023,0,12,2023-09-30,-
9,2.PS,"Tour de Langkawi, General classification",42298,MURGUIALDAY ELORZA Jokin,31268,0,10,2023-09-30,-
10,2.PS,"Tour de Langkawi, General classification",42298,LOPEZ GRANIZO Harold Martin,29525,0,8,2023-09-30,-
1,1.PS,Giro dell'Emilia,42128,ROGLIC Primoz,20719,4,50,2023-09-30,Bram
2,1.PS,Giro dell'Emilia,42128,POGACAR Tadej,26526,1,35,2023-09-30,Kees
3,1.PS,Giro dell'Emilia,42128,YATES Simon,17893,0.5,25,2023-09-30,PB
4,1.PS,Giro dell'Emilia,42128,MAS NICOLAU Enric,22794,0,20,2023-09-30,PB
5,1.PS,Giro dell'Emilia,42128,WOODS Michael,20257,0,18,2023-09-30,Albert
6,1.PS,Giro dell'Emilia,42128,VLASOV Aleksandr,24316,0,16,2023-09-30,Harry
7,1.PS,Giro dell'Emilia,42128,CARAPAZ MONTENEGRO Richard Antonio,21342,0,14,2023-09-30,Wijnand
8,1.PS,Giro dell'Emilia,42128,CICCONE Giulio,21812,0,12,2023-09-30,Nicky
9,1.PS,Giro dell'Emilia,42128,YATES Adam,18975,0,10,2023-09-30,Paul
10,1.PS,Giro dell'Emilia,42128,BARGUIL Warren,17627,0,8,2023-09-30,Nicky
1,2.PSs,"Tour de Langkawi, Stage 8 : Setia Alam - Kuala Lumpur",42297,SYRITSA Gleb,29927,0.3,0,2023-09-30,-
1,2.1s,"Cro Race, Stage 5 : Crikvenica - Ozalj",42240,AULAR SANABRIA Orluis Alberto,24326,0.2,0,2023-09-30,PB
1,2.PSs,"Tour de Langkawi, Stage 7 : Muar - Seramban",42296,WEEMAES Sasha,27131,0.3,0,2023-09-29,-
1,2.1s,"Cro Race, Stage 4 : Krk - Labin",42239,MOHORIC Matej,21145,0.2,0,2023-09-29,Frank
1,1.PS,Circuit Franco-Belge,42139,DE LIE Arnaud,32221,4,50,2023-09-28,Wijnand
2,1.PS,Circuit Franco-Belge,42139,TILLER Rasmus Fossum,25623,1,35,2023-09-28,PB
3,1.PS,Circuit Franco-Belge,42139,STRONG Corbin,29492,0.5,25,2023-09-28,PB
4,1.PS,Circuit Franco-Belge,42139,JOHANNESSEN Tobias Halland,31567,0,20,2023-09-28,Albert
5,1.PS,Circuit Franco-Belge,42139,SENECHAL Florian,19903,0,18,2023-09-28,Wijnand
6,1.PS,Circuit Franco-Belge,42139,ROTA Lorenzo,21958,0,16,2023-09-28,Paul
7,1.PS,Circuit Franco-Belge,42139,ZIMMERMANN Georg,25165,0,14,2023-09-28,-
8,1.PS,Circuit Franco-Belge,42139,LAMPAERT Yves,19941,0,12,2023-09-28,Harry
9,1.PS,Circuit Franco-Belge,42139,SKUJINS Toms,16739,0,10,2023-09-28,Kees
10,1.PS,Circuit Franco-Belge,42139,TURGIS Anthony,21312,0,8,2023-09-28,Vel
1,2.PSs,"Tour de Langkawi, Stage 6 : Karak - Melaka",42295,DE KLEIJN Arvid,22596,0.3,0,2023-09-28,-
1,1.1,Coppa Agostoni - Giro delle Brianze,42127,FORMOLO Davide,18749,2,0,2023-09-28,Nicky
2,1.1,Coppa Agostoni - Giro delle Brianze,42127,HIRSCHI Marc,26509,0.3,0,2023-09-28,Bram
3,1.1,Coppa Agostoni - Giro delle Brianze,42127,LAFAY Victor,26197,0.1,0,2023-09-28,Jan
1,2.1s,"Cro Race, Stage 3 : Otocac - Opatija (prov.)",42238,PARISINI Nicolo,29418,0.2,0,2023-09-28,-
1,2.PSs,"Tour de Langkawi, Stage 5 : Slim River - Genting Highlands",42294,CARR Simon,30010,0.3,0,2023-09-27,-
1,2.1s,"Cro Race, Stage 2 : Biograd na Moru - Novalja (prov.)",42237,LEITAO Iuri Gabriel Dantas,31829,0.2,0,2023-09-27,-
1,2.PSs,"Tour de Langkawi, Stage 4 : Bukit Mertajam - Meru Raya",42293,BABOR Daniel,27937,0.3,0,2023-09-26,-
1,2.1s,"Cro Race, Stage 1 : Primosten - Sinj (prov.)",42236,VIVIANI Elia,13240,0.2,0,2023-09-26,Paul
1,2.PSs,"Tour de Langkawi, Stage 3 : Jeli - Baling (prov.)",42292,JACKSON George,31889,0.3,0,2023-09-25,-
1,2.PS,"Tour de Luxembourg, General classification",42217,HIRSCHI Marc,26509,4,50,2023-09-24,Bram
2,2.PS,"Tour de Luxembourg, General classification",42217,MCNULTY Brandon,26508,1,35,2023-09-24,Kees
3,2.PS,"Tour de Luxembourg, General classification",42217,HEALY Ben,28846,0.5,25,2023-09-24,-
4,2.PS,"Tour de Luxembourg, General classification",42217,VAN WILDER Ilan,29828,0,20,2023-09-24,Wijnand
5,2.PS,"Tour de Luxembourg, General classification",42217,ULISSI Diego,10023,0,18,2023-09-24,Paul
6,2.PS,"Tour de Luxembourg, General classification",42217,KRAGH ANDERSEN Søren,20793,0,16,2023-09-24,Vel
7,2.PS,"Tour de Luxembourg, General classification",42217,GROSSSCHARTNER Felix,19548,0,14,2023-09-24,Albert
8,2.PS,"Tour de Luxembourg, General classification",42217,BOUWMAN Koen,20770,0,12,2023-09-24,Kaspar
9,2.PS,"Tour de Luxembourg, General classification",42217,O'CONNOR Ben,23763,0,10,2023-09-24,Harry
10,2.PS,"Tour de Luxembourg, General classification",42217,VAN GILS Maxim,28521,0,8,2023-09-24,-
1,2.PSs,"Tour de Langkawi, Stage 2 : Kuala Terengganu - Kota Bharu (prov.)",42291,SYRITSA Gleb,29927,0.3,0,2023-09-24,-
1,NCT5,National Championships Cuba I.T.T. (prov.),42288,MARCOS VIQUEIRO Leandro,16606,0.5,0,2023-09-27,-
1,2.PSs,"Tour de Luxembourg, Stage 5 : Mersch - Luxembourg",42216,JOHANNESSEN Tobias Halland,31567,0.3,0,2023-09-24,Albert
1,1.1,Paris - Chauny,42126,PHILIPSEN Jasper,26392,2,0,2023-09-24,Nicky
2,1.1,Paris - Chauny,42126,TESSON Jason,29883,0.3,0,2023-09-24,Jan
3,1.1,Paris - Chauny,42126,PENHOËT Paul,30686,0.1,0,2023-09-24,-
1,1.WT3,European Championships (Drijber) R.R.,42137,LAPORTE Christophe,19953,5,50,2023-09-24,Kaspar
2,1.WT3,European Championships (Drijber) R.R.,42137,VAN AERT Wout,20730,2,35,2023-09-24,Frank
3,1.WT3,European Championships (Drijber) R.R.,42137,KOOIJ Olav,30643,1,25,2023-09-24,Albert
4,1.WT3,European Championships (Drijber) R.R.,42137,DE LIE Arnaud,32221,0,20,2023-09-24,Wijnand
5,1.WT3,European Championships (Drijber) R.R.,42137,TEUNISSEN Mike,19165,0,18,2023-09-24,Albert
6,1.WT3,European Championships (Drijber) R.R.,42137,TILLER Rasmus Fossum,25623,0,16,2023-09-24,PB
