Rank,Prev,RiderID,UCICode,Name,Team,Nationality,Age,CQ
1,1,26526,SLO19980921,POGACAR Tadej,UAD,SLO,25,3602
2,2,25740,DEN19961210,VINGEGAARD RASMUSSEN Jonas,TJV,DEN,27,3171
3,3,28377,BEL20000125,EVENEPOEL Remco,SOQ,BEL,23,2933
4,4,20719,SLO19891029,ROGLIC Primoz,TJV,SLO,34,2744
5,5,20730,BEL19940915,VAN AERT Wout,TJV,BEL,29,1981
6,6,26392,BEL19980302,PHILIPSEN Jasper,ADC,BEL,25,1971
7,7,18975,GBR19920807,YATES Adam,UAD,GBR,31,1951
8,8,26509,SUI19980824,HIRSCHI Marc,UAD,SUI,25,1883
9,9,21992,DEN19951218,PEDERSEN Mads,LTK,DEN,28,1872
10,10,21971,NED19950119,VAN DER POEL Mathieu,ADC,NED,28,1803
11,11,30166,DEN20000926,SKJELMOSE JENSEN Mattias,LTK,DEN,23,1723
12,12,32221,BEL20020316,DE LIE Arnaud,LTD,BEL,21,1715
13,13,24057,ITA19960725,GANNA Filippo,IGD,ITA,27,1418
14,17,30643,NED20011017,KOOIJ Olav,TJV,NED,22,1412
15,14,26482,POR19980805,ALMEIDA Joao Pedro Gonçalves,UAD,POR,25,1405
16,15,17893,GBR19920807,YATES Simon,JAY,GBR,31,1382
17,16,21145,SLO19941019,MOHORIC Matej,TBV,SLO,29,1340
18,18,19953,FRA19921211,LAPORTE Christophe,TJV,FRA,31,1271
19,19,25653,USA19940913,KUSS Sepp,TJV,USA,29,1263
20,20,14319,ESP19891213,LANDA MEANA Mikel,TBV,ESP,34,1165
21,21,17881,ESP19900225,BILBAO LOPEZ DE ARMENTIA Pello,TBV,ESP,33,1155
22,22,28846,IRL20000911,HEALY Ben,EFE,IRL,23,1088
23,23,24758,FRA19960712,MADOUAS Valentin,GFC,FRA,27,1068
24,24,13080,FRA19900529,PINOT Thibaut,GFC,FRA,33,1066
25,25,24902,USA19960903,POWLESS Neilson,EFE,USA,27,1060
26,26,31654,ESP20020916,AYUSO PESQUERA Juan,UAD,ESP,21,1023
27,27,21812,ITA19941220,CICCONE Giulio,LTK,ITA,29,1014
28,28,20960,SUI19931116,KÜNG Stefan,GFC,SUI,30,995
29,29,21244,BEL19940311,BENOOT Tiesj,TJV,BEL,29,992
30,30,6807,POR19861005,COSTA Rui Alberto Faria,ICW,POR,37,985
31,31,26383,AUT19980227,GALL Felix,ACT,AUT,25,967
32,40,28057,USA19990701,JORGENSON Matteo,MOV,USA,24,936
33,33,29828,BEL20000514,VAN WILDER Ilan,SOQ,BEL,23,933
34,34,19994,FRA19930609,MARTIN Guillaume,COF,FRA,30,932
35,35,28127,BEL19990312,VERMEERSCH Florian,LTD,BEL,24,922
36,36,24316,RUS19960423,VLASOV Aleksandr,BOH,RUS,27,908
37,37,26508,USA19980402,MCNULTY Brandon,UAD,USA,25,895
38,38,27708,GBR19990730,PIDCOCK Thomas,IGD,GBR,24,891
39,39,31263,FRA19981218,ZINGLE Axel,COF,FRA,25,880
40,32,17988,BEL19921030,MERLIER Tim,SOQ,BEL,31,872
41,41,26637,AUS19981223,GROVES Kaden,ADC,AUS,25,859
42,42,24255,FRA19961010,GAUDU David,GFC,FRA,27,849
43,43,23940,ESP19950919,ARANBURU DEBA Alexander,MOV,ESP,28,834
44,45,23763,AUS19951125,O'CONNOR Ben,ACT,AUS,28,811
45,46,3891,GBR19860525,THOMAS Geraint,IGD,GBR,37,810
46,47,30836,ESP20010202,RODRIGUEZ CANO Carlos,IGD,ESP,22,810
47,48,23948,AUS19960505,HINDLEY Jai,BOH,AUS,27,807
48,49,20257,CAN19861012,WOODS Michael,IPT,CAN,37,796
49,50,24934,FRA19970711,SIVAKOV Pavel,IGD,FRA,26,796
50,44,19238,NED19930621,GROENEWEGEN Dylan,JAY,NED,30,787
51,51,27085,BEL19980621,THIJSSEN Gerben,ICW,BEL,25,786
52,52,32766,FRA20030121,GREGOIRE Romain,GFC,FRA,20,784
53,53,13566,FRA19901109,BARDET Romain,DSM,FRA,33,773
54,54,18455,KAZ19920907,LUTSENKO Alexey,AST,KAZ,31,770
55,55,29699,COL19990926,BUITRAGO SANCHEZ Santiago,TBV,COL,24,770
56,56,14321,ESP19890204,IZAGIRRE INSAUSTI Ion,COF,ESP,34,767
57,57,28452,ITA19990323,BAGIOLI Andrea,SOQ,ITA,24,765
58,58,6177,ITA19871012,CARUSO Damiano,TBV,ITA,36,762
59,59,29187,NOR20000312,WAERENSKJOLD Søren,UXT,NOR,23,756
60,60,27024,COL19980222,RUBIO REYES Einer Augusto,MOV,COL,25,754
61,61,25623,NOR19960728,TILLER Rasmus Fossum,UXT,NOR,27,745
62,62,16653,FRA19910826,DEMARE Arnaud,ARK,FRA,32,743
63,63,31567,NOR19990823,JOHANNESSEN Tobias Halland,UXT,NOR,24,737
64,64,22794,ESP19950107,MAS NICOLAU Enric,MOV,ESP,28,736
65,65,20793,DEN19940810,KRAGH ANDERSEN Søren,ADC,DEN,29,727
66,66,4179,NOR19870705,KRISTOFF Alexander,UXT,NOR,36,726
67,67,10023,ITA19890715,ULISSI Diego,UAD,ITA,34,719
68,68,26420,DEN19980601,KRON Andreas Lorentz,LTD,DEN,25,705
69,69,22018,GBR19950330,GEOGHEGAN HART Tao,IGD,GBR,28,696
70,70,17534,ESP19900726,HERRADA LOPEZ Jesus,COF,ESP,33,692
71,71,18714,FRA19920425,COQUARD Bryan,COF,FRA,31,675
72,72,16739,LAT19910615,SKUJINS Toms,LTK,LAT,32,668
73,73,19941,BEL19910410,LAMPAERT Yves,SOQ,BEL,32,665
74,74,26421,BEL19980701,MEEUS Jordi,BOH,BEL,25,659
75,75,18233,BEL19920417,STUYVEN Jasper,LTK,BEL,31,657
76,76,19242,NED19930726,VAN POPPEL Danny,BOH,NED,30,650
77,77,21958,ITA19950523,ROTA Lorenzo,ICW,ITA,28,648
78,78,29214,SUI19991204,SCHMID Mauro,SOQ,SUI,24,646
79,79,24180,BEL19961031,MENTEN Milan,LTD,BEL,27,639
80,80,23517,AUS19960119,WELSFORD Sam,DSM,AUS,27,636
81,81,28521,BEL19991125,VAN GILS Maxim,LTD,BEL,24,636
82,82,13066,AUS19900926,MATTHEWS Michael,JAY,AUS,33,633
83,97,19548,AUT19931223,GROSSSCHARTNER Felix,UAD,AUT,30,625
84,106,16722,BEL19910510,WELLENS Tim,UAD,BEL,32,623
85,83,23427,GER19960909,KÄMNA Lennard,BOH,GER,27,619
86,84,18610,FRA19920611,ALAPHILIPPE Julian,SOQ,FRA,31,618
87,85,30595,ESP19991107,LAZKANO LOPEZ Oier,MOV,ESP,24,615
88,86,22910,FRA19950810,CAVAGNA Rémi,SOQ,FRA,28,603
89,87,22662,ITA19951202,VELASCO Simone,AST,ITA,28,592
90,88,30686,FRA20011228,PENHOËT Paul,GFC,FRA,22,591
91,89,27749,ITA19990318,ZANA Filippo,JAY,ITA,24,587
92,90,29492,NZL20000430,STRONG Corbin,IPT,NZL,23,586
