rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.PS,"Tour of Norway, General classification (prov.)",42967,LAURANCE Axel,31621,4,50,2024-05-26,Jan
2,2.PS,"Tour of Norway, General classification (prov.)",42967,LEMMEN Bart,32252,1,35,2024-05-26,-
3,2.PS,"Tour of Norway, General classification (prov.)",42967,HOLTER Aadne,30167,0.5,25,2024-05-26,-
4,2.PS,"Tour of Norway, General classification (prov.)",42967,VACEK Mathias,31713,0,20,2024-05-26,-
5,2.PS,"Tour of Norway, General classification (prov.)",42967,BRENNER Marco,31323,0,18,2024-05-26,-
6,2.PS,"Tour of Norway, General classification (prov.)",42967,RODRIGUEZ GARAICOECHEA Oscar,26216,0,16,2024-05-26,-
7,2.PS,"Tour of Norway, General classification (prov.)",42967,HAYTER Ethan,27025,0,14,2024-05-26,Bram
8,2.PS,"Tour of Norway, General classification (prov.)",42967,CORT NIELSEN Magnus,19448,0,12,2024-05-26,Nicky
9,2.PS,"Tour of Norway, General classification (prov.)",42967,BONNEU Kamiel,32584,0,10,2024-05-26,-
10,2.PS,"Tour of Norway, General classification (prov.)",42967,HAGEN Carl Fredrik,23436,0,8,2024-05-26,-
1,2.PSs,"Boucles de la Mayenne, Stage 3 : Quelaines-Saint-Gault - Laval (prov.)",42971,RETAILLEAU Valentin,29868,0.3,0,2024-05-26,-
1,2.PSs,"Tour of Norway, Stage 4 : Stavanger - Stavanger (prov.)",42966,KRISTOFF Alexander,4179,0.3,0,2024-05-26,Nicky
1,1.1,Rund um Köln (prov.),42829,VAN UDEN Casper,30636,2,0,2024-05-26,-
2,1.1,Rund um Köln (prov.),42829,GIRMAY HAILU Biniam,29474,0.3,0,2024-05-26,Nicky
3,1.1,Rund um Köln (prov.),42829,BLOUWE Louis,29120,0.1,0,2024-05-26,-
-4,GT2s,"Leiderstrui na Giro dItalia, Stage 20 : Alpago - Bassano del Grappa (prov.)",42872,Pogacar Tadej,26526,1,0,2024-05-25,Wijnand
-1,GT2s,"Jongerentrui na Giro dItalia, Stage 20 : Alpago - Bassano del Grappa (prov.)",42872,Tiberi Antonio,30649,0.1,0,2024-05-25,-
-2,GT2s,"Puntentrui na Giro dItalia, Stage 20 : Alpago - Bassano del Grappa (prov.)",42872,Milan Jonathan,29359,0.2,0,2024-05-25,Albert
-3,GT2s,"Bergtrui na Giro dItalia, Stage 20 : Alpago - Bassano del Grappa (prov.)",42872,Pogacar Tadej,26526,0.2,0,2024-05-25,Wijnand
1,GT2s,"Giro dItalia, Stage 20 : Alpago - Bassano del Grappa (prov.)",42872,POGACAR Tadej,26526,2,0,2024-05-25,Wijnand
1,2.PSs,"Boucles de la Mayenne, Stage 2 : Le Ham - Villaines-la-Juhel (prov.)",42970,BETTIOL Alberto,20697,0.3,0,2024-05-25,PB
1,2.PSs,"Tour of Norway, Stage 3 : Sola - Egersund (prov.)",42965,MEEUS Jordi,26421,0.3,0,2024-05-25,Vel
1,2.1,"Tour of Estonia, General classification",42958,KISKONEN Siim,26040,2,0,2024-05-25,-
2,2.1,"Tour of Estonia, General classification",42958,LAUK Karl Patrick,25669,0.3,0,2024-05-25,-
3,2.1,"Tour of Estonia, General classification",42958,ÄRM Rait,29780,0.1,0,2024-05-25,-
1,2.1s,"Tour of Estonia, Stage 2 : Tartu - Tartu",42957,KISKONEN Siim,26040,0.2,0,2024-05-25,-
